repo,label,group,code_files_counted,code_lines,code_nonblank_lines,skipped_files,top_languages,tracked_text_files_counted,tracked_text_lines,tracked_text_nonblank_lines
OpenHands/OpenHands,OpenHands main,OpenHands,2425,404261,350708,14,"[{'language': 'Python', 'lines': 226695}, {'language': 'TypeScript', 'lines': 136308}, {'language': 'JSON', 'lines': 29171}, {'language': 'YAML', 'lines': 3703}, {'language': 'TMPL', 'lines': 2829}, {'language': 'TOML', 'lines': 889}, {'language': 'SVG', 'lines': 705}, {'language': 'CSS', 'lines': 679}]",2505,413156,357107
OpenHands/agent-canvas,Agent Canvas,OpenHands,1738,246466,222918,10,"[{'language': 'TypeScript', 'lines': 196659}, {'language': 'JSON', 'lines': 34529}, {'language': 'MJS', 'lines': 7744}, {'language': 'YAML', 'lines': 2916}, {'language': 'Python', 'lines': 824}, {'language': 'CSS', 'lines': 783}, {'language': 'JavaScript', 'lines': 733}, {'language': 'SVG', 'lines': 696}]",1762,249778,225400
OpenHands/software-agent-sdk,Software Agent SDK,OpenHands,1281,333281,274384,4,"[{'language': 'Python', 'lines': 319709}, {'language': 'YAML', 'lines': 7364}, {'language': 'JavaScript', 'lines': 1558}, {'language': 'JSON', 'lines': 1078}, {'language': 'CSS', 'lines': 739}, {'language': 'Other', 'lines': 511}, {'language': 'Shell', 'lines': 457}, {'language': 'Dockerfile', 'lines': 397}]",1365,346051,284226
OpenHands/OpenHands-CLI,OpenHands CLI,OpenHands,402,66765,56014,1,"[{'language': 'Python', 'lines': 51041}, {'language': 'SVG', 'lines': 12762}, {'language': 'YAML', 'lines': 1662}, {'language': 'TCSS', 'lines': 441}, {'language': 'Other', 'lines': 218}, {'language': 'TOML', 'lines': 154}, {'language': 'Shell', 'lines': 150}, {'language': 'Makefile', 'lines': 124}]",415,68503,57327
openai/codex,OpenAI Codex,Comparison,4696,1324542,1219349,77,"[{'language': 'Rust', 'lines': 1119613}, {'language': 'JSON', 'lines': 120315}, {'language': 'Python', 'lines': 35405}, {'language': 'TypeScript', 'lines': 9174}, {'language': 'SNAP', 'lines': 8723}, {'language': 'YAML', 'lines': 8168}, {'language': 'TOML', 'lines': 5898}, {'language': 'Shell', 'lines': 3654}]",5307,1358160,1248451
anomalyco/opencode,OpenCode,Comparison,5022,1047601,989604,381,"[{'language': 'TypeScript', 'lines': 584661}, {'language': 'JSON', 'lines': 393810}, {'language': 'CSS', 'lines': 40284}, {'language': 'SVG', 'lines': 16403}, {'language': 'YAML', 'lines': 2891}, {'language': 'PATCH', 'lines': 1621}, {'language': 'Other', 'lines': 1356}, {'language': 'ASTRO', 'lines': 1299}]",5842,1284379,1158765
NousResearch/hermes-agent,Hermes,Comparison,4659,1746187,1485429,104,"[{'language': 'Python', 'lines': 1370357}, {'language': 'TypeScript', 'lines': 283683}, {'language': 'XSD', 'lines': 19730}, {'language': 'YAML', 'lines': 11055}, {'language': 'BST', 'lines': 7756}, {'language': 'STY', 'lines': 6846}, {'language': 'Shell', 'lines': 6723}, {'language': 'MJS', 'lines': 6601}]",6087,2190088,1815668
